keys,docs,classification
DateFormat_getCalendar, Returns the calendar associated with this date/time formatter.,source
Resources_getSystem," Return a global shared Resources object that provides access to only  system resources , is not configured for the  current screen , and is not affected by Runtime Resource Overlay.",source
CursorWrapper_getBlob, Returns the value of the requested column as a byte array.,source
URLConnection_getContentLength, Returns the value of the content-length header field.,source
AudioTrack_getNativeOutputSampleRate, Returns the output sample rate in Hz for the specified stream type.,source
NfcA_get, Get an instance of NfcA for the given tag.,source
CursorAdapter_getCount, How many items are in the data set represented by this Adapter.,source
ListActivity_getListAdapter, Get the ListAdapter associated with this activity's ListView.,source
Field_getGenericType, Returns a Type object that represents the declared type for  the field represented by this Field object.,source
Environment_getDataDirectory, Return the user data directory.,source
TimeZone_clone, Overrides clone.,source
Subject_getSubject, Get the Subject associated with the provided  AccessControlContext.,source
AbstractCursor_getColumnIndex," Returns the zero-based index for the given column name, or -1 if the column doesn't exist.",source
SQLiteOpenHelper_getReadableDatabase, Create and/or open a database.,source
DrmInfo_getInfoType, Retrieves the information type associated with this object.,source
CursorAdapter_getFilter, Returns a filter that can be used to constrain data with a filtering  pattern.,source
DuplicateFormatFlagsException_getMessage, Returns the detail message string of this throwable.,source
PatternSyntaxException_getDescription, Retrieves the description of the error.,source
AudioTrack_getPlaybackRate, Returns the current playback sample rate rate in Hz.,source
WebSettings_getMinimumFontSize, Gets the minimum font size.,source
AudioTrack_getPlaybackHeadPosition, Returns the playback head position expressed in frames.,source
KeyStore_getCertificate, Returns the certificate associated with the given alias.,source
URI_getScheme, Returns the scheme component of this URI.,source
AccountManager_peekAuthToken, Gets an auth token from the AccountManager's cache.,source
SimpleCursorAdapter_getCursorToStringConverter, Returns the converter used to convert the filtering Cursor  into a String.,source
TrustAnchor_getCAPublicKey, Returns the public key of the most-trusted CA.,source
Security_getProvider," Returns the provider installed with the specified name, if  any.",source
AbstractWindowedCursor_getInt, Returns the value of the requested column as an int.,source
AudioRecord_getChannelCount, Returns the configured number of channels.,source
LockSupport_getBlocker," Returns the blocker object supplied to the most recent  invocation of a park method that has not yet unblocked, or null  if not blocked.",source
SipSession_getCallId, Gets the call ID of the session.,source
URI_getQuery, Returns the decoded query component of this URI.,source
Method_getExceptionTypes, Returns an array of Class objects that represent the  types of exceptions declared to be thrown by the underlying  executable represented by this object.,source
Provider_toString, Returns a string with the name and the version number  of this provider.,source
MtpObjectInfo_getThumbCompressedSize, Returns the size of the MTP object's thumbnail  Will be zero for objects with no thumbnail,source
DateFormat_getDateInstance, Returns the date formatter with the given formatting style  for the given locale.,source
X509Certificate_getIssuerAlternativeNames," Gets an immutable collection of issuer alternative names from the  IssuerAltName extension, .",source
Toast_getYOffset, Return the Y offset in pixels to apply to the gravity's location.,source
TypedArray_getResourceId, Retrieves the resource identifier for the attribute at  index.,source
LogRecord_getLoggerName, Get the source Logger's name.,source
AutoCompleteTextView_getDropDownAnchor, Returns the id for the view that the auto-complete drop down list is anchored to.,source
BreakIterator_getAvailableLocales, Returns a list of locales for which BreakIterators can be used.,source
AlgorithmParameters_getParameterSpec, Returns a  specification of this parameter object.,source
DecimalFormatSymbols_getInternationalCurrencySymbol, Returns the international string denoting the local currency.,source
RandomAccessFile_getChannel, Returns the unique FileChannel  object associated with this file.,source
ListActivity_getSelectedItemPosition, Get the position of the currently selected list item.,source
WebSettings_getUseWideViewPort," Gets whether the WebView supports the ""viewport""  HTML meta tag or will use a wide viewport.",source
MtpDevice_getObjectInfo, Retrieves the MtpObjectInfo for an object.,source
Resources_getDrawableForDensity, Return a drawable object associated with a particular resource ID for the  given screen density in DPI and styled for the specified theme.,source
DrmManagerClient_getDrmObjectType, Retrieves the type of rights-protected object  using the specified URI or MIME type.,source
Resources_getDrawableForDensity, Return a drawable object associated with a particular resource ID for the  given screen density in DPI and styled for the specified theme.,source
WallpaperManager_getDrawable," Retrieve the current system wallpaper; if  no wallpaper is set, the system built-in static wallpaper is returned.",source
CursorWrapper_getWantsAllOnMoveCalls, onMove will only be called across processes if this method returns true.,source
NfcF_getTag, Get the Tag object backing this TagTechnology object.,source
PropertyChangeEvent_getPropagationId," The ""propagationId"" field is reserved for future use.",source
SSLSessionBindingEvent_getName," Returns the name to which the object is being bound, or the name  from which the object is being unbound.",source
Socket_getSendBufferSize," Get value of the SO_SNDBUF option  for this Socket, that is the buffer size used by the platform  for output on this Socket.",source
CookieManager_getInstance, Gets the singleton CookieManager instance.,source
InputSource_getPublicId, Get the public identifier for this input source.,source
Display_getDisplayId, Gets the display id.,source
LocatorImpl_getColumnNumber, Return the saved column number .,source
ShapeDrawable_getIntrinsicHeight, Returns the drawable's intrinsic height.,source
Semaphore_getQueueLength, Returns an estimate of the number of threads waiting to acquire.,source
FieldPosition_getFieldAttribute, Returns the field identifier as an attribute constant  from one of the Field subclasses.,source
CharBuffer_array, Returns the char array that backs this  buffer .,source
Signature_getProvider, Returns the provider of this signature object.,source
JSONArray_getJSONObject, Returns the value at index if it exists and is a JSONObject.,source
NumberFormat_parse, Parses text from the beginning of the given string to produce a number.,source
SslError_getPrimaryError, Gets the most severe SSL error in this object's set of errors.,source
AtomicLong_getAndSet," Atomically sets the value to newValue and returns the old value,  with memory effects as specified by VarHandle#getAndSet.",source
ScheduledThreadPoolExecutor_shutdownNow," Attempts to stop all actively executing tasks, halts the  processing of waiting tasks, and returns a list of the tasks  that were awaiting execution.",source
FileLock_channel, Returns the file channel upon whose file this lock was acquired.,source
ServerSocket_getInetAddress, Returns the local address of this server socket.,source
MtpDevice_getObject, Returns the data for an object as a byte array.,source
AbstractWindowedCursor_getDouble, Returns the value of the requested column as a double.,source
RSAPublicKeySpec_getModulus, Returns the modulus.,source
LockSupport_getBlocker," Returns the blocker object supplied to the most recent  invocation of a park method that has not yet unblocked, or null  if not blocked.",source
MatrixCursor_getType, Returns data type of the given column's value.,source
Preference_getOrder, Gets the order of this Preference with respect to other Preference objects on the same level.,source
NetworkInterface_getByName, Searches for the network interface with the specified name.,source
BroadcastReceiver_getResultExtras," Retrieve the current result extra data, as set by the previous receiver.",source
ScaleGestureDetector_getCurrentSpanX, Return the average X distance between each of the pointers forming the  gesture in progress through the focal point.,source
Timestamp_getTimestamp, Returns the date and time when the timestamp was generated.,source
RandomAccessFile_getFD, Returns the opaque file descriptor object associated with this  stream.,source
MessageDigest_digest, Completes the hash computation by performing final operations  such as padding.,source
TextureView_getBitmap, Returns a Bitmap representation of the content  of the associated surface texture.,source
MimeTypeMap_getExtensionFromMimeType, Return the registered extension for the given MIME type.,source
AudioRecord_getAudioSource, Returns the audio recording source.,source
WallpaperManager_getInstance, Retrieve a WallpaperManager associated with the given Context.,source
EditTextPreference_getText, Gets the text from the SharedPreferences.,source
Equalizer_getProperties, Gets the equalizer properties.,source
AlgorithmParameters_getEncoded, Returns the parameters encoded in the specified scheme.,source
IllegalFormatConversionException_getArgumentClass, Returns the class of the mismatched argument.,source
NfcA_getMaxTransceiveLength, Return the maximum number of bytes that can be sent with transceive.,source
LocationManager_getBestProvider, Returns the name of the provider that best meets the given criteria.,source
AudioStream_getCodec," Returns the AudioCodec, or null if it is not set.",source
ContextThemeWrapper_getResources, Returns a Resources instance for the application's package.,source
ParsePosition_getIndex, Retrieve the current parse position.,source
CellLocation_getEmpty," Return a new CellLocation object representing an unknown  location, or null for unknown/none phone radio types.",source
URL_getProtocol, Gets the protocol name of this URL.,source
ExifInterface_getAttributeInt, Returns the integer value of the specified tag.,source
MtpStorageInfo_getDescription, Returns the description string for the storage unit.,source
EllipticCurve_getField, Returns the finite field field that this  elliptic curve is over.,source
URLConnection_getContentLength, Returns the value of the content-length header field.,source
StaticLayout_getLineCount, Return the number of lines of text in this layout.,source
AccountManager_get, Gets an AccountManager instance associated with a Context.,source
WebViewFragment_getWebView, Gets the WebView.,source
Thread_getState, Returns the state of this thread.,source
SAXParseException_getPublicId, Get the public identifier of the entity where the exception occurred.,source
