keys,docs,classification
DateFormat_getCalendar,get calendar  returns the calendar associated with this date/time formatter.,source
Resources_getSystem,"get system  return a global shared resources object that provides access to only  system resources , is not configured for the  current screen , and is not affected by runtime resource overlay.",source
CursorWrapper_getBlob,get blob  returns the value of the requested column as a byte array.,source
URLConnection_getContentLength,get content length  returns the value of the content-length header field.,source
AudioTrack_getNativeOutputSampleRate,get native output sample rate  returns the output sample rate in hz for the specified stream type.,source
NfcA_get,get  get an instance of nfca for the given tag.,source
CursorAdapter_getCount,get count  how many items are in the data set represented by this adapter.,source
ListActivity_getListAdapter,get list adapter  get the listadapter associated with this activity's listview.,source
Field_getGenericType,get generic type  returns a type object that represents the declared type for  the field represented by this field object.,source
Environment_getDataDirectory,get data directory  return the user data directory.,source
TimeZone_clone,clone  overrides clone.,source
Subject_getSubject,get subject  get the subject associated with the provided  accesscontrolcontext.,source
AbstractCursor_getColumnIndex,"get column index  returns the zero-based index for the given column name, or -1 if the column doesn't exist.",source
SQLiteOpenHelper_getReadableDatabase,get readable database  create and/or open a database.,source
DrmInfo_getInfoType,get info type  retrieves the information type associated with this object.,source
CursorAdapter_getFilter,get filter  returns a filter that can be used to constrain data with a filtering  pattern.,source
DuplicateFormatFlagsException_getMessage,get message  returns the detail message string of this throwable.,source
PatternSyntaxException_getDescription,get description  retrieves the description of the error.,source
AudioTrack_getPlaybackRate,get playback rate  returns the current playback sample rate rate in hz.,source
WebSettings_getMinimumFontSize,get minimum font size  gets the minimum font size.,source
AudioTrack_getPlaybackHeadPosition,get playback head position  returns the playback head position expressed in frames.,source
KeyStore_getCertificate,get certificate  returns the certificate associated with the given alias.,source
URI_getScheme,get scheme  returns the scheme component of this uri.,source
AccountManager_peekAuthToken,peek auth token  gets an auth token from the accountmanager's cache.,source
SimpleCursorAdapter_getCursorToStringConverter,get cursor to string converter  returns the converter used to convert the filtering cursor  into a string.,source
TrustAnchor_getCAPublicKey,get c a public key  returns the public key of the most-trusted ca.,source
Security_getProvider,"get provider  returns the provider installed with the specified name, if  any.",source
AbstractWindowedCursor_getInt,get int  returns the value of the requested column as an int.,source
AudioRecord_getChannelCount,get channel count  returns the configured number of channels.,source
LockSupport_getBlocker,"get blocker  returns the blocker object supplied to the most recent  invocation of a park method that has not yet unblocked, or null  if not blocked.",source
SipSession_getCallId,get call id  gets the call id of the session.,source
URI_getQuery,get query  returns the decoded query component of this uri.,source
Method_getExceptionTypes,get exception types  returns an array of class objects that represent the  types of exceptions declared to be thrown by the underlying  executable represented by this object.,source
Provider_toString,to string  returns a string with the name and the version number  of this provider.,source
