keys,docs,classification
DateFormat_getCalendar,get calendar from date format  returns the calendar associated with this date/time formatter.,source
Resources_getSystem,"get system from resources  return a global shared resources object that provides access to only  system resources , is not configured for the  current screen , and is not affected by runtime resource overlay.",source
CursorWrapper_getBlob,get blob from cursor wrapper  returns the value of the requested column as a byte array.,source
URLConnection_getContentLength,get content length from connection  returns the value of the content-length header field.,source
AudioTrack_getNativeOutputSampleRate,get native output sample rate from audio track  returns the output sample rate in hz for the specified stream type.,source
NfcA_get,get from nfc  get an instance of nfca for the given tag.,source
CursorAdapter_getCount,get count from cursor adapter  how many items are in the data set represented by this adapter.,source
ListActivity_getListAdapter,get list adapter from list activity  get the listadapter associated with this activity's listview.,source
Field_getGenericType,get generic type from field  returns a type object that represents the declared type for  the field represented by this field object.,source
Environment_getDataDirectory,get data directory from environment  return the user data directory.,source
TimeZone_clone,clone from time zone  overrides clone.,source
Subject_getSubject,get subject from subject  get the subject associated with the provided  accesscontrolcontext.,source
AbstractCursor_getColumnIndex,"get column index from abstract cursor  returns the zero-based index for the given column name, or -1 if the column doesn't exist.",source
SQLiteOpenHelper_getReadableDatabase,get readable database from lite open helper  create and/or open a database.,source
DrmInfo_getInfoType,get info type from drm info  retrieves the information type associated with this object.,source
CursorAdapter_getFilter,get filter from cursor adapter  returns a filter that can be used to constrain data with a filtering  pattern.,source
DuplicateFormatFlagsException_getMessage,get message from duplicate format flags exception  returns the detail message string of this throwable.,source
PatternSyntaxException_getDescription,get description from pattern syntax exception  retrieves the description of the error.,source
AudioTrack_getPlaybackRate,get playback rate from audio track  returns the current playback sample rate rate in hz.,source
WebSettings_getMinimumFontSize,get minimum font size from web settings  gets the minimum font size.,source
AudioTrack_getPlaybackHeadPosition,get playback head position from audio track  returns the playback head position expressed in frames.,source
KeyStore_getCertificate,get certificate from key store  returns the certificate associated with the given alias.,source
URI_getScheme,get scheme from   returns the scheme component of this uri.,source
AccountManager_peekAuthToken,peek auth token from account manager  gets an auth token from the accountmanager's cache.,source
SimpleCursorAdapter_getCursorToStringConverter,get cursor to string converter from simple cursor adapter  returns the converter used to convert the filtering cursor  into a string.,source
TrustAnchor_getCAPublicKey,get c a public key from trust anchor  returns the public key of the most-trusted ca.,source
Security_getProvider,"get provider from security  returns the provider installed with the specified name, if  any.",source
AbstractWindowedCursor_getInt,get int from abstract windowed cursor  returns the value of the requested column as an int.,source
AudioRecord_getChannelCount,get channel count from audio record  returns the configured number of channels.,source
LockSupport_getBlocker,"get blocker from lock support  returns the blocker object supplied to the most recent  invocation of a park method that has not yet unblocked, or null  if not blocked.",source
SipSession_getCallId,get call id from sip session  gets the call id of the session.,source
URI_getQuery,get query from   returns the decoded query component of this uri.,source
Method_getExceptionTypes,get exception types from method  returns an array of class objects that represent the  types of exceptions declared to be thrown by the underlying  executable represented by this object.,source
Provider_toString,to string from provider  returns a string with the name and the version number  of this provider.,source
MtpObjectInfo_getThumbCompressedSize,get thumb compressed size from mtp object info  returns the size of the mtp object's thumbnail  will be zero for objects with no thumbnail,source
DateFormat_getDateInstance,get date instance from date format  returns the date formatter with the given formatting style  for the given locale.,source
X509Certificate_getIssuerAlternativeNames,"get issuer alternative names from x509 certificate  gets an immutable collection of issuer alternative names from the  issueraltname extension, .",source
Toast_getYOffset,get y offset from toast  return the y offset in pixels to apply to the gravity's location.,source
TypedArray_getResourceId,get resource id from typed array  retrieves the resource identifier for the attribute at  index.,source
LogRecord_getLoggerName,get logger name from log record  get the source logger's name.,source
AutoCompleteTextView_getDropDownAnchor,get drop down anchor from auto complete text view  returns the id for the view that the auto-complete drop down list is anchored to.,source
BreakIterator_getAvailableLocales,get available locales from break iterator  returns a list of locales for which breakiterators can be used.,source
AlgorithmParameters_getParameterSpec,get parameter spec from algorithm parameters  returns a  specification of this parameter object.,source
DecimalFormatSymbols_getInternationalCurrencySymbol,get international currency symbol from decimal format symbols  returns the international string denoting the local currency.,source
RandomAccessFile_getChannel,get channel from random access file  returns the unique filechannel  object associated with this file.,source
ListActivity_getSelectedItemPosition,get selected item position from list activity  get the position of the currently selected list item.,source
WebSettings_getUseWideViewPort,"get use wide view port from web settings  gets whether the webview supports the ""viewport""  html meta tag or will use a wide viewport.",source
MtpDevice_getObjectInfo,get object info from mtp device  retrieves the mtpobjectinfo for an object.,source
Resources_getDrawableForDensity,get drawable for density from resources  return a drawable object associated with a particular resource id for the  given screen density in dpi and styled for the specified theme.,source
DrmManagerClient_getDrmObjectType,get drm object type from drm manager client  retrieves the type of rights-protected object  using the specified uri or mime type.,source
Resources_getDrawableForDensity,get drawable for density from resources  return a drawable object associated with a particular resource id for the  given screen density in dpi and styled for the specified theme.,source
WallpaperManager_getDrawable,"get drawable from wallpaper manager  retrieve the current system wallpaper; if  no wallpaper is set, the system built-in static wallpaper is returned.",source
CursorWrapper_getWantsAllOnMoveCalls,get wants all on move calls from cursor wrapper  onmove will only be called across processes if this method returns true.,source
NfcF_getTag,get tag from nfc  get the tag object backing this tagtechnology object.,source
PropertyChangeEvent_getPropagationId,"get propagation id from property change event  the ""propagationid"" field is reserved for future use.",source
SSLSessionBindingEvent_getName,"get name from session binding event  returns the name to which the object is being bound, or the name  from which the object is being unbound.",source
Socket_getSendBufferSize,"get send buffer size from socket  get value of the so_sndbuf option  for this socket, that is the buffer size used by the platform  for output on this socket.",source
CookieManager_getInstance,get instance from cookie manager  gets the singleton cookiemanager instance.,source
InputSource_getPublicId,get public id from input source  get the public identifier for this input source.,source
Display_getDisplayId,get display id from display  gets the display id.,source
LocatorImpl_getColumnNumber,get column number from locator impl  return the saved column number .,source
ShapeDrawable_getIntrinsicHeight,get intrinsic height from shape drawable  returns the drawable's intrinsic height.,source
Semaphore_getQueueLength,get queue length from semaphore  returns an estimate of the number of threads waiting to acquire.,source
FieldPosition_getFieldAttribute,get field attribute from field position  returns the field identifier as an attribute constant  from one of the field subclasses.,source
CharBuffer_array,array from char buffer  returns the char array that backs this  buffer .,source
Signature_getProvider,get provider from signature  returns the provider of this signature object.,source
JSONArray_getJSONObject,get json object from array  returns the value at index if it exists and is a jsonobject.,source
NumberFormat_parse,parse from number format  parses text from the beginning of the given string to produce a number.,source
SslError_getPrimaryError,get primary error from ssl error  gets the most severe ssl error in this object's set of errors.,source
AtomicLong_getAndSet,"get and set from atomic long  atomically sets the value to newvalue and returns the old value,  with memory effects as specified by varhandle#getandset.",source
ScheduledThreadPoolExecutor_shutdownNow,"shutdown now from scheduled thread pool executor  attempts to stop all actively executing tasks, halts the  processing of waiting tasks, and returns a list of the tasks  that were awaiting execution.",source
FileLock_channel,channel from file lock  returns the file channel upon whose file this lock was acquired.,source
ServerSocket_getInetAddress,get inet address from server socket  returns the local address of this server socket.,source
