keys,docs,classification
DateFormat_getCalendar,"get calendar from date format  returns the calendar associated with this date/time formatter. Return type is Calendar and no argument. [icu enhancement] icu's replacement for dateformat. methods, fields, and other functionality specific to icu are labeled '[icu]'.",source
Resources_getSystem,"get system from resources  return a global shared resources object that provides access to only  system resources , is not configured for the  current screen , and is not affected by runtime resource overlay. Return type is Resources and no argument. class for accessing an application's resources.  this sits on top of the asset manager of the application (accessible through getassets) and provides a high level api for getting typed data from the assets.",source
CursorWrapper_getBlob,get blob from cursor wrapper  returns the value of the requested column as a byte array. Return type is byte[] and parameters are int. wrapper class for cursor that delegates all calls to the actual cursor object.  the primary use for this class is to extend a cursor while overriding only a subset of its methods.,source
URLConnection_getContentLength,"get content length from url connection  returns the value of the content-length header field. Return type is int and no argument. the abstract class urlconnection is the superclass of all classes that represent a communications link between the application and a url. instances of this class can be used both to read from and to write to the resource referenced by the url. in general, creating a connection to a url is a multistep process:",source
AudioTrack_getNativeOutputSampleRate,"get native output sample rate from audio track  returns the output sample rate in hz for the specified stream type. Return type is   int and parameters are int. the audiotrack class manages and plays a single audio resource for java applications. it allows streaming of pcm audio buffers to the audio sink for playback. this is achieved by ""pushing"" the data to the audiotrack object using one of the  write, write,  and write methods.",source
NfcA_get,get from nfc a  get an instance of nfca for the given tag. Return type is Nfc A and parameters are tag. provides access to nfc a  properties and i/o operations on a tag.,source
CursorAdapter_getCount,get count from cursor adapter  how many items are in the data set represented by this adapter. Return type is int and no argument. adapter that exposes data from a cursor to a listview widget.,source
ListActivity_getListAdapter,get list adapter from list activity  get the listadapter associated with this activity's listview. Return type is List Adapter and no argument.,source
Field_getGenericType,"get generic type from field  returns a type object that represents the declared type for  the field represented by this field object. Return type is Type and no argument. a field provides information about, and dynamic access to, a single field of a class or an interface.  the reflected field may be a class  field or an instance field.",source
Environment_getDataDirectory,get data directory from environment  return the user data directory. Return type is File and no argument. provides access to environment variables.,source
TimeZone_clone,"clone from time zone  overrides clone. Return type is Object and no argument. [icu enhancement] icu's replacement for timezone. methods, fields, and other functionality specific to icu are labeled '[icu]'.",source
Subject_getSubject,get subject from subject  get the subject associated with the provided  accesscontrolcontext. Return type is Subject and parameters are access control context.,source
AbstractCursor_getColumnIndex,"get column index from abstract cursor  returns the zero-based index for the given column name, or -1 if the column doesn't exist. Return type is int and parameters are string. this is an abstract cursor class that handles a lot of the common code that all cursors need to deal with and is provided for convenience reasons.",source
SQLiteOpenHelper_getReadableDatabase,get readable database from sqlite open helper  create and/or open a database. Return type is sqlite Database and no argument. a helper class to manage database creation and version management.,source
DrmInfo_getInfoType,get info type from drm info  retrieves the information type associated with this object. Return type is int and no argument.,source
CursorAdapter_getFilter,get filter from cursor adapter  returns a filter that can be used to constrain data with a filtering  pattern. Return type is Filter and no argument. adapter that exposes data from a cursor to a listview widget.,source
DuplicateFormatFlagsException_getMessage,get message from duplicate format flags exception  returns the detail message string of this throwable. Return type is String and no argument. unchecked exception thrown when duplicate flags are provided in the format specifier.,source
PatternSyntaxException_getDescription,get description from pattern syntax exception  retrieves the description of the error. Return type is String and no argument. unchecked exception thrown to indicate a syntax error in a regular expression pattern.,source
AudioTrack_getPlaybackRate,"get playback rate from audio track  returns the current playback sample rate rate in hz. Return type is int and no argument. the audiotrack class manages and plays a single audio resource for java applications. it allows streaming of pcm audio buffers to the audio sink for playback. this is achieved by ""pushing"" the data to the audiotrack object using one of the  write, write,  and write methods.",source
WebSettings_getMinimumFontSize,"get minimum font size from web settings  gets the minimum font size. Return type is   int and no argument. manages settings state for a webview. when a webview is first created, it obtains a set of default settings. these default settings will be returned from any getter call. a websettings object obtained from webview#getsettings is tied to the life of the webview. if a webview has been destroyed, any method call on websettings will throw an illegalstateexception.",source
AudioTrack_getPlaybackHeadPosition,"get playback head position from audio track  returns the playback head position expressed in frames. Return type is int and no argument. the audiotrack class manages and plays a single audio resource for java applications. it allows streaming of pcm audio buffers to the audio sink for playback. this is achieved by ""pushing"" the data to the audiotrack object using one of the  write, write,  and write methods.",source
KeyStore_getCertificate,get certificate from key store  returns the certificate associated with the given alias. Return type is Certificate and parameters are string. this class represents a storage facility for cryptographic keys and certificates.,source
URI_getScheme,get scheme from uri  returns the scheme component of this uri. Return type is String and no argument. represents a uniform resource identifier  reference.,source
AccountManager_peekAuthToken,"peek auth token from account manager  gets an auth token from the accountmanager's cache. Return type is String and parameters are account string. this class provides access to a centralized registry of the user's online accounts.  the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval.",source
SimpleCursorAdapter_getCursorToStringConverter,"get cursor to string converter from simple cursor adapter  returns the converter used to convert the filtering cursor  into a string. Return type is Simple Cursor Adapter. Cursor To String Converter and no argument. an easy adapter to map columns from a cursor to textviews or imageviews defined in an xml file. you can specify which columns you want, which views you want to display the columns, and the xml file that defines the appearance of these views. binding occurs in two phases. first, if a simplecursoradapter.viewbinder is available, viewbinder#setviewvalue is invoked. if the returned value is true, binding has occured. if the returned value is false and the view to bind is a textview, setviewtext is invoked. if the returned value is false and the view to bind is an imageview, setviewimage is invoked. if no appropriate binding can be found, an illegalstateexception is thrown. if this adapter is used with filtering, for instance in an autocompletetextview, you can use the simplecursoradapter.cursortostringconverter and the filterqueryprovider interfaces to get control over the filtering process. you can refer to converttostring and cursoradapter.runqueryonbackgroundthread for more information.",source
TrustAnchor_getCAPublicKey,get c a public key from trust anchor  returns the public key of the most-trusted ca. Return type is Public Key and no argument. a trust anchor or most trusted certification authority .,source
Security_getProvider,"get provider from security  returns the provider installed with the specified name, if  any. Return type is Provider and parameters are string.",source
AbstractWindowedCursor_getInt,get int from abstract windowed cursor  returns the value of the requested column as an int. Return type is int and parameters are int. a base class for cursors that store their data in cursorwindows.,source
AudioRecord_getChannelCount,"get channel count from audio record  returns the configured number of channels. Return type is int and no argument. the audiorecord class manages the audio resources for java applications to record audio from the audio input hardware of the platform. this is achieved by ""pulling""  the data from the audiorecord object. the application is responsible for polling the audiorecord object in time using one of the following three methods:  read, read or read. the choice of which method to use will be based on the audio data storage format that is the most convenient for the user of audiorecord.",source
