keys,real,docs,classification
DateFormat_getCalendar,source, Returns the calendar associated with this date/time formatter.,source
Resources_getSystem,source," Return a global shared Resources object that provides access to only  system resources , is not configured for the  current screen , and is not affected by Runtime Resource Overlay.",source
CursorWrapper_getBlob,source, Returns the value of the requested column as a byte array.,source
URLConnection_getContentLength,source, Returns the value of the content-length header field.,source
AudioTrack_getNativeOutputSampleRate,source, Returns the output sample rate in Hz for the specified stream type.,source
NfcA_get,source, Get an instance of NfcA for the given tag.,source
CursorAdapter_getCount,source, How many items are in the data set represented by this Adapter.,source
ListActivity_getListAdapter,source, Get the ListAdapter associated with this activity's ListView.,source
Field_getGenericType,neither, Returns a Type object that represents the declared type for  the field represented by this Field object.,source
Environment_getDataDirectory,source, Return the user data directory.,source
TimeZone_clone,neither, Overrides clone.,source
Subject_getSubject,source, Get the Subject associated with the provided  Access Control Context.,source
AbstractCursor_getColumnIndex,neither," Returns the zero-based index for the given column name, or -1 if the column doesn't exist.",source
SQLiteOpenHelper_getReadableDatabase,source, Create and/or open a database.,source
DrmInfo_getInfoType,source, Retrieves the information type associated with this object.,source
CursorAdapter_getFilter,source, Returns a filter that can be used to constrain data with a filtering  pattern.,source
DuplicateFormatFlagsException_getMessage,source, Returns the detail message string of this throwable.,source
PatternSyntaxException_getDescription,source, Retrieves the description of the error.,source
AudioTrack_getPlaybackRate,source, Returns the current playback sample rate rate in Hz.,source
WebSettings_getMinimumFontSize,source, Gets the minimum font size.,source
AudioTrack_getPlaybackHeadPosition,source, Returns the playback head position expressed in frames.,source
KeyStore_getCertificate,source, Returns the certificate associated with the given alias.,source
URI_getScheme,source, Returns the scheme component of this URI.,source
AccountManager_peekAuthToken,source, Gets an auth token from the AccountManager's cache.,source
SimpleCursorAdapter_getCursorToStringConverter,neither, Returns the converter used to convert the filtering Cursor  into a String.,source
TrustAnchor_getCAPublicKey,source, Returns the public key of the most-trusted CA.,source
Security_getProvider,source," Returns the provider installed with the specified name, if  any.",source
AbstractWindowedCursor_getInt,source, Returns the value of the requested column as an int.,source
AudioRecord_getChannelCount,source, Returns the configured number of channels.,source
LockSupport_getBlocker,source," Returns the blocker object supplied to the most recent  invocation of a park method that has not yet unblocked, or null  if not blocked.",source
SipSession_getCallId,source, Gets the call ID of the session.,source
URI_getQuery,source, Returns the decoded query component of this URI.,source
Method_getExceptionTypes,neither, Returns an array of Class objects that represent the  types of exceptions declared to be thrown by the underlying  executable represented by this object.,source
Provider_toString,source, Returns a string with the name and the version number  of this provider.,source
MtpObjectInfo_getThumbCompressedSize,source, Returns the size of the MTP object's thumbnail  Will be zero for objects with no thumbnail,source
DateFormat_getDateInstance,source, Returns the date formatter with the given formatting style  for the given locale.,source
X509Certificate_getIssuerAlternativeNames,source," Gets an immutable collection of issuer alternative names from the  IssuerAltName extension, .",source
Toast_getYOffset,source, Return the Y offset in pixels to apply to the gravity's location.,source
TypedArray_getResourceId,source, Retrieves the resource identifier for the attribute at  index.,source
LogRecord_getLoggerName,source, Get the source Logger's name.,source
AutoCompleteTextView_getDropDownAnchor,source, Returns the id for the view that the auto-complete drop down list is anchored to.,source
BreakIterator_getAvailableLocales,source, Returns a list of locales for which BreakIterators can be used.,source
AlgorithmParameters_getParameterSpec,source, Returns a  specification of this parameter object.,source
