class,class_description,method_name,args,return,description,has_description,args_string,aosp-gps,library,key
AppMeasurementContentProvider,This class is deprecated. Replaced by com.google.firebase.provider.FirebaseInitProvider.,attachInfo,"['Context', 'ProviderInfo']",void,,0,Context_ProviderInfo,gps,measurement,AppMeasurementContentProvider_attachInfo
AppMeasurementContentProvider,This class is deprecated. Replaced by com.google.firebase.provider.FirebaseInitProvider.,delete,"['Uri', 'String', 'String[]']",int,,0,Uri_String_String[],gps,measurement,AppMeasurementContentProvider_delete
AppMeasurementContentProvider,This class is deprecated. Replaced by com.google.firebase.provider.FirebaseInitProvider.,getType,['Uri'],String,,0,Uri,gps,measurement,AppMeasurementContentProvider_getType
AppMeasurementContentProvider,This class is deprecated. Replaced by com.google.firebase.provider.FirebaseInitProvider.,insert,"['Uri', 'ContentValues']",Uri,,0,Uri_ContentValues,gps,measurement,AppMeasurementContentProvider_insert
AppMeasurementContentProvider,This class is deprecated. Replaced by com.google.firebase.provider.FirebaseInitProvider.,onCreate,[''],boolean,,0,,gps,measurement,AppMeasurementContentProvider_onCreate
AppMeasurementContentProvider,This class is deprecated. Replaced by com.google.firebase.provider.FirebaseInitProvider.,query,"['Uri', 'String[]', 'String', 'String[]', 'String']",Cursor,,0,Uri_String[]_String_String[]_String,gps,measurement,AppMeasurementContentProvider_query
AppMeasurementContentProvider,This class is deprecated. Replaced by com.google.firebase.provider.FirebaseInitProvider.,update,"['Uri', 'ContentValues', 'String', 'String[]']",int,,0,Uri_ContentValues_String_String[],gps,measurement,AppMeasurementContentProvider_update
AppMeasurementJobService,A JobService used by FirebaseAnalytics.,onCreate,[''],void,,0,,gps,measurement,AppMeasurementJobService_onCreate
AppMeasurementJobService,A JobService used by FirebaseAnalytics.,onDestroy,[''],void,,0,,gps,measurement,AppMeasurementJobService_onDestroy
AppMeasurementJobService,A JobService used by FirebaseAnalytics.,onRebind,['Intent'],void,,0,Intent,gps,measurement,AppMeasurementJobService_onRebind
AppMeasurementJobService,A JobService used by FirebaseAnalytics.,onStartJob,['JobParameters'],boolean,,0,JobParameters,gps,measurement,AppMeasurementJobService_onStartJob
AppMeasurementJobService,A JobService used by FirebaseAnalytics.,onStopJob,['JobParameters'],boolean,,0,JobParameters,gps,measurement,AppMeasurementJobService_onStopJob
AppMeasurementJobService,A JobService used by FirebaseAnalytics.,onUnbind,['Intent'],boolean,,0,Intent,gps,measurement,AppMeasurementJobService_onUnbind
AppMeasurementReceiver,A BroadcastReceiver for Firebase Analytics.,doGoAsync,[''],BroadcastReceiver.PendingResult,,0,,gps,measurement,AppMeasurementReceiver_doGoAsync
AppMeasurementReceiver,A BroadcastReceiver for Firebase Analytics.,doStartService,"['Context', 'Intent']",void,,0,Context_Intent,gps,measurement,AppMeasurementReceiver_doStartService
AppMeasurementReceiver,A BroadcastReceiver for Firebase Analytics.,onReceive,"['Context', 'Intent']",void,,0,Context_Intent,gps,measurement,AppMeasurementReceiver_onReceive
AppMeasurementService,An Service used by FirebaseAnalytics.,onBind,['Intent'],IBinder,,0,Intent,gps,measurement,AppMeasurementService_onBind
AppMeasurementService,An Service used by FirebaseAnalytics.,onCreate,[''],void,,0,,gps,measurement,AppMeasurementService_onCreate
AppMeasurementService,An Service used by FirebaseAnalytics.,onDestroy,[''],void,,0,,gps,measurement,AppMeasurementService_onDestroy
AppMeasurementService,An Service used by FirebaseAnalytics.,onRebind,['Intent'],void,,0,Intent,gps,measurement,AppMeasurementService_onRebind
AppMeasurementService,An Service used by FirebaseAnalytics.,onStartCommand,"['Intent', 'int', 'int']",int,,0,Intent_int_int,gps,measurement,AppMeasurementService_onStartCommand
AppMeasurementService,An Service used by FirebaseAnalytics.,onUnbind,['Intent'],boolean,,0,Intent,gps,measurement,AppMeasurementService_onUnbind
RtbAdapter,Mediation adapter that also supports open bidding.,collectSignals,"['RtbSignalData', 'SignalCallbacks']",abstract void,Called by the Google Mobile Ads SDK to start signal generation.,1,RtbSignalData_SignalCallbacks,gps,rtb,RtbAdapter_collectSignals
RtbAdapter,Mediation adapter that also supports open bidding.,loadRtbBannerAd,"['MediationBannerAdConfiguration', 'MediationAdLoadCallback<MediationBannerAd', 'MediationBannerAdCallback>']",void,Called by the Google Mobile Ads SDK to begin loading an open bidding banner ad given a MediationAdConfigurationUsed to load the winning ad from an open bidding request.,1,MediationBannerAdConfiguration_MediationAdLoadCallback<MediationBannerAd_MediationBannerAdCallback>,gps,rtb,RtbAdapter_loadRtbBannerAd
RtbAdapter,Mediation adapter that also supports open bidding.,loadRtbInterscrollerAd,"['MediationBannerAdConfiguration', 'MediationAdLoadCallback<MediationInterscrollerAd', 'MediationBannerAdCallback>']",void,Called by the Google Mobile Ads SDK to begin loading an open bidding interscroller ad given a MediationAdConfigurationUsed to load the winning ad from an open bidding request.,1,MediationBannerAdConfiguration_MediationAdLoadCallback<MediationInterscrollerAd_MediationBannerAdCallback>,gps,rtb,RtbAdapter_loadRtbInterscrollerAd
RtbAdapter,Mediation adapter that also supports open bidding.,loadRtbInterstitialAd,"['MediationInterstitialAdConfiguration', 'MediationAdLoadCallback<MediationInterstitialAd', 'MediationInterstitialAdCallback>']",void,Called by the Google Mobile Ads SDK to begin loading an open bidding interstitial ad given a MediationAdConfigurationUsed to load the winning ad from an open bidding request.,1,MediationInterstitialAdConfiguration_MediationAdLoadCallback<MediationInterstitialAd_MediationInterstitialAdCallback>,gps,rtb,RtbAdapter_loadRtbInterstitialAd
