ind,key1,cat1,c1,doc1,key2,cat2,c2,doc2,cosine,labels
0,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",TelephonyManager_getSimSerialNumber,s,1,"get sim serial number from telephony manager  returns the serial number of the sim, if applicable",0.6364820599555969,1.1182410299777985
1,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",TelephonyManager_getSubscriberId,s,1,"get subscriber id from telephony manager  returns the unique subscriber id, for example, the imsi for a gsm phone",0.6183757781982422,1.1091878890991211
2,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",TelephonyManager_getDataState,s,1,get data state from telephony manager  returns a constant indicating the current data connection state  ,0.5184565782546997,1.05922828912735
3,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Address_getFeatureName,s,2,"get feature name from address  returns the feature name of the address, for example, ""golden gate bridge"", or null  if it is unknow",0.201320081949234,0.600660040974617
4,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Address_getUrl,s,2,"get url from address  returns the public url for the address if known,  or null if it is unknown",0.09639641642570496,0.5481982082128525
5,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Calendar_getInstance,s,2,get instance from calendar  returns a calendar with the specified time zone and locale,0.03510621190071106,0.5175531059503555
6,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",FileChannel_read,s,3,read from file channel  reads a sequence of bytes from this channel into a subsequence of the  given buffers,0.06261275708675385,0.5313063785433769
7,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",FileInputStream_getFD,s,3,get f d from file input stream  returns the filedescriptor  object that represents the connection to  the actual file in the file system being  used by this fileinputstream,0.18383155763149261,0.5919157788157463
8,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SocketChannel_read,s,3,read from socket channel  reads a sequence of bytes from this channel into a subsequence of the  given buffers,0.05598605424165726,0.5279930271208286
9,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",DownloadManager_getUriForDownloadedFile,s,3,"get uri for downloaded file from download manager  returns the uri of the given downloaded file id, if the file is  downloaded successfully",0.25624024868011475,0.6281201243400574
10,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",KeyPairGenerator_generateKeyPair,s,4,generate key pair from key pair generator  generates a key pair,-0.013267912901937962,0.493366043549031
11,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",KeyPairGenerator_getAlgorithm,s,4,get algorithm from key pair generator  returns the standard name of the algorithm for this key pair generator,0.21572673320770264,0.6078633666038513
12,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",AccountManager_getAuthToken,s,5,"get auth token from account manager  gets an auth token of the specified type for a particular account,  optionally raising a notification if the user must enter credentials",0.11488419771194458,0.5574420988559723
13,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",AccountManager_getPassword,s,5,get password from account manager  gets the saved password associated with the account,0.14452846348285675,0.5722642317414284
14,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",AccountManager_getUserData,s,5,"get user data from account manager  gets the user data named by ""key"" associated with the account",0.11938393115997314,0.5596919655799866
15,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",NfcV_getDsfId,s,6,get dsf id from nfc  return the dsf id bytes from tag discovery,0.2997516095638275,0.6498758047819138
16,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",NfcV_getTag,s,6,get tag from nfc  get the tag object backing this tagtechnology object,0.2993394136428833,0.6496697068214417
17,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",AudioManager_isMicrophoneMute,s,7,is microphone mute from audio manager  checks whether the microphone mute is on or off,0.12975309789180756,0.5648765489459038
18,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",BroadcastReceiver_getResultCode,s,8,"get result code from broadcast receiver  retrieve the current result code, as set by the previous receiver",0.24431529641151428,0.6221576482057571
19,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",BroadcastReceiver_getResultExtras,s,8,"get result extras from broadcast receiver  retrieve the current result extra data, as set by the previous receiver",0.1783675253391266,0.5891837626695633
20,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SensorManager_getInclination,s,7,get inclination from sensor manager  computes the geomagnetic inclination angle in radians from the  inclination matrix i returned by getrotationmatrix,0.11833114176988602,0.559165570884943
21,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SensorManager_getSensorList,s,7,get sensor list from sensor manager  use this method to get the list of available sensors of a certain type,0.19864629209041595,0.599323146045208
22,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SensorManager_getOrientation,s,7,get orientation from sensor manager  computes the device's orientation based on the rotation matrix,0.2176598459482193,0.6088299229741096
23,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",UiDevice_getDisplaySizeDp,s,7,get display size dp from ui device  returns the display size in dp   the returned display size is adjusted per screen rotation,0.26963797211647034,0.6348189860582352
24,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",HttpURLConnection_getPermission,s,9,get permission from http connection  returns a socketpermission object representing the  permission necessary to connect to the destination host and port,0.1461837738752365,0.5730918869376183
25,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",HttpURLConnection_getResponseMessage,s,9,"get response message from http connection  gets the http response message, if any, returned along with the  response code from a server",0.23358440399169922,0.6167922019958496
26,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",HttpURLConnection_getHeaderFieldDate,s,9,get header field date from http connection  returns the value of the named field parsed as date,0.14436796307563782,0.5721839815378189
27,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",RSAPrivateKeySpec_getModulus,s,4,get modulus from private key spec  returns the modulus,0.19078442454338074,0.5953922122716904
28,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",URI_getRawUserInfo,s,10,get raw user info from   returns the raw user-information component of this uri,0.09831028431653976,0.5491551421582699
29,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",UserManager_getUserForSerialNumber,s,10,get user for serial number from user manager  return the user associated with a serial number previously  returned by getserialnumberforuser,0.2671372890472412,0.6335686445236206
30,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",UserManager_getUserName,s,10,get user name from user manager  returns the user name of the context user,0.1541748046875,0.57708740234375
31,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",LocationManager_sendExtraCommand,k,1,send extra command from location manager  sends additional commands to a location provider,0.060922764241695404,0.2304613821208477
32,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",AudioGroup_sendDtmf,k,1,send dtmf from audio group  sends a dtmf digit to every audiostream in this group,0.11050668358802795,0.255253341794014
33,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SmsManager_sendTextMessage,k,1,send text message from sms manager  send a text based sms,0.2977593243122101,0.34887966215610505
34,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SmsManager_sendDataMessage,k,1,send data message from sms manager  send a data based sms to a specific application port,0.28780612349510193,0.343903061747551
35,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SmsManager_sendMultipartTextMessage,k,1,send multipart text message from sms manager  similar method as #sendmultiparttextmessage  with an additional argument,0.16442395746707916,0.2822119787335396
36,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Browser_sendString,k,1,send string from browser  sends the given string using an intent with intent#action_send and a mime type  of text/plain,0.16014577448368073,0.2800728872418404
37,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",NsdServiceInfo_writeToParcel,k,2,write to parcel from nsd service info  implement the parcelable interfac,0.10400877892971039,0.2520043894648552
38,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",RandomAccessFile_writeUTF,k,2,write u t f from random access file  writes a string to the file using  modified utf-8  encoding in a machine-independent manner,0.004461164586246014,0.20223058229312302
39,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",FileOutputStream_write,k,2,write from file output stream  writes b length bytes from the specified byte array  to this file output stream,0.057976655662059784,0.2289883278310299
40,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",PrintWriterPrinter_println,k,2,println from print writer printer  write a line of text to the output,0.03519923985004425,0.21759961992502214
41,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Log_println,k,2,println from log  low-level logging call,0.09449415653944016,0.2472470782697201
42,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",PrintStream_println,k,2,println from print stream  prints an object and then terminate the line,0.01340041309595108,0.20670020654797555
43,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Bundle_writeToParcel,k,2,"write to parcel from bundle  writes the bundle contents to a parcel, typically in order for  it to be passed through an ibinder connection",0.028002560138702393,0.2140012800693512
44,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",ObjectOutputStream_writeBoolean,k,2,write boolean from object output stream  writes a boolean,0.0005062106065452099,0.20025310530327262
45,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Binder_dumpAsync,k,4,"dump async from binder  like dump, but ensures the target  executes asynchronously",-0.025995399802923203,0.1870023000985384
46,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",AsyncTaskLoader_dump,k,4,dump from async task loader  print the loader's state into the given stream,0.11164708435535431,0.25582354217767717
47,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Location_dump,k,4,dump from location  dumps location,0.03881950303912163,0.21940975151956083
48,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",RemoteControlClient.MetadataEditor_putLong,k,5,put long from remote control client metadata editor  adds numerical information to be displayed,0.17056065797805786,0.28528032898902894
49,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",RemoteControlClient.MetadataEditor_putString,k,5,put string from remote control client metadata editor  adds textual information to be displayed,0.12224570661783218,0.2611228533089161
50,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",ContentValues_put,k,5,put from content values  adds a value to the set,-0.06439537554979324,0.1678023122251034
51,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",InputConnectionWrapper_performPrivateCommand,k,3,perform private command from input connection wrapper  api to send private commands from an input method to its  connected editor,0.03688780963420868,0.21844390481710435
52,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",IsolatedContext_sendBroadcast,k,3,send broadcast from isolated context  broadcast the given intent to all interested broadcastreceivers,0.03991730883717537,0.2199586544185877
53,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",IntentSender_sendIntent,k,3,"send intent from intent sender  perform the operation associated with this intentsender, allowing the  caller to specify information about the intent to use and be notified  when the send has completed",0.1568526178598404,0.2784263089299202
54,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SipProfile.Builder_setPassword,k,6,set password from sip profile builder  sets the password of the sip accoun,0.16608574986457825,0.28304287493228913
55,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",SipProfile.Builder_setPort,k,6,set port from sip profile builder  sets the port number of the server,0.231685608625412,0.315842804312706
56,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",WebSettings_setBlockNetworkImage,k,6,set block network image from web settings  sets whether the webview should not load image resources from the  network ,0.015979820862412453,0.20798991043120624
57,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",File_setExecutable,k,6,set executable from file  a convenience method to set the owner's execute permission for this  abstract pathname,0.03531670570373535,0.2176583528518677
58,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",Address_setExtras,k,6,set extras from address  sets the extra information associated with this fix to the  given bundle,0.06647244840860367,0.23323622420430185
59,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",DrmManagerClient_saveRights,k,7,save rights from drm manager client  saves rights to a specified path and associates that path with the content path,0.06052796170115471,0.23026398085057737
60,TelephonyManager_getDeviceSoftwareVersion,s,1,"get device software version from telephony manager  returns the software version number for the device, for example,  the imei/sv for gsm phones",NotificationManager_notify,k,8,notify from notification manager  post a notification to be shown in the status bar,0.11863122135400772,0.25931561067700387
