key,docs,class,classification,category_map
WebSettings_setDatabaseEnabled," sets whether the database storage api is enabled .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,sink,no category
URLConnection_getRequestProperties," returns an unmodifiable map of general request  properties for this connection .  the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",URLConnection,source,no category
ObjectOutputStream_writeLong," writes a 64 bit long .  an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",ObjectOutputStream,sink,no category
Socket_setReceiveBufferSize, sets the so_rcvbuf option to the  specified value for this socket .  this class implements client sockets   a socket is an endpoint for communication between two machines,Socket,sink,no category
URLConnection_setDefaultUseCaches," sets the default value of the use caches field to the  specified value .  the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",URLConnection,sink,no category
SQLiteDatabase_rawQuery, runs the provided sql and returns a cursor over the result set .  exposes methods to manage a s q lite database,SQLiteDatabase,source,database
WebSettings_setAllowContentAccess," enables or disables content url access within web view .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,sink,no category
BassBoost_getRoundedStrength, gets the current strength of the effect .  bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,BassBoost,source,no category
Array_newInstance, creates a new array with the specified component type and  length .  the array class provides static methods to dynamically create and access java arrays,Array,source,no category
AudioManager_getRingerMode, returns the current ringtone mode .  audio manager provides access to volume and ringer mode control,AudioManager,source,no category
NumberFormat_parse," parses text from the beginning of the given string to produce a number . icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",NumberFormat,source,no category
TextToSpeech_setSpeechRate, sets the speech rate .  synthesizes speech from text for immediate playback or to create a sound file,TextToSpeech,sink,no category
ServerSocket_getLocalSocketAddress," returns the address of the endpoint this socket is bound to .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",ServerSocket,source,no category
DatagramSocket_getBroadcast, tests if so_broadcast is enabled .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,source,no category
HttpURLConnection_getFollowRedirects, returns a boolean indicating  whether or not http redirects  should  be automatically followed .  a url connection with support for http specific features  see  the spec  for details,HttpURLConnection,source,no category
MediaPlayer_setSurface, sets the surface to be used as the sink for the video portion of  the media .  media player class can be used to control playback of audio/video files and streams,MediaPlayer,sink,log
Inflater_getRemaining, returns the total number of bytes remaining in the input buffer .  this class provides support for general purpose decompression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,Inflater,source,no category
HttpURLConnection_getInstanceFollowRedirects, returns the value of this http url connection's  instance follow redirects field .  a url connection with support for http specific features  see  the spec  for details,HttpURLConnection,source,no category
WebSettings_getCursiveFontFamily," gets the cursive font family name .  manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",WebSettings,source,no category
IsoDep_setTimeout, set the timeout of transceive in milliseconds .  provides access to iso dep  properties and i/ o operations on a tag,IsoDep,sink,nfc communication
Animation_getInterpolator," gets the acceleration curve type for this animation .  abstraction for an animation that can be applied to views, surfaces, or other objects  see the animation package description file",Animation,source,no category
DateFormat_clone," overrides clone . icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DateFormat,source,no category
DecimalFormat_setGroupingSize," grouping: sets the primary grouping size  used when formatting large numbers . icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",DecimalFormat,sink,no category
IsoDep_getTag, get the tag object backing this tag technology object .  provides access to iso dep  properties and i/ o operations on a tag,IsoDep,source,nfc information
AudioManager_isMicrophoneMute, checks whether the microphone mute is on or off .  audio manager provides access to volume and ringer mode control,AudioManager,source,no category
DatePickerDialog_updateDate, sets the current date .  a simple dialog containing an date picker,DatePickerDialog,sink,no category
Throwable_setStackTrace, sets the stack trace elements that will be returned by  get stack trace and printed by print stack trace  and related methods .  this exception is thrown by the access controller to indicate that a requested access  is denied,Throwable,sink,no category
DateFormatSymbols_getWeekdays," returns weekday strings . icu's replacement for date format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'",DateFormatSymbols,source,no category
SimpleAdapter_setViewImage," called by bind view to set the image for an image view but only if  there is no existing view binder or if the existing view binder cannot  handle binding to an image view .  an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",SimpleAdapter,sink,no category
