key,docs,classification,class,category_map
WebSettings_setDatabaseEnabled,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",sink,WebSettings,no category
URLConnection_getRequestProperties,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category
ObjectOutputStream_writeLong,"an object output stream writes primitive data types and graphs of java objects to an output stream   the objects can be read  using an object input stream   persistent storage of objects can be accomplished by using a file for the stream   if the stream is a network socket stream, the objects can be reconstituted on another host or in another process",sink,ObjectOutputStream,no category
Socket_setReceiveBufferSize,this class implements client sockets   a socket is an endpoint for communication between two machines,sink,Socket,no category
URLConnection_setDefaultUseCaches,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",sink,URLConnection,no category
SQLiteDatabase_rawQuery,exposes methods to manage a sql lite database,source,SQLiteDatabase,database
WebSettings_setAllowContentAccess,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",sink,WebSettings,no category
BassBoost_getRoundedStrength,bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,source,BassBoost,no category
Array_newInstance,the array class provides static methods to dynamically create and access java arrays,source,Array,no category
AudioManager_getRingerMode,audio manager provides access to volume and ringer mode control,source,AudioManager,no category
NumberFormat_parse,"[icu enhancement] icu's replacement for number format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,NumberFormat,no category
TextToSpeech_setSpeechRate,synthesizes speech from text for immediate playback or to create a sound file,sink,TextToSpeech,no category
ServerSocket_getLocalSocketAddress,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category
DatagramSocket_getBroadcast,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category
HttpURLConnection_getFollowRedirects,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category
MediaPlayer_setSurface,media player class can be used to control playback of audio/video files and streams,sink,MediaPlayer,log
Inflater_getRemaining,this class provides support for general purpose decompression using the popular zlib compression library  the zlib compression library was initially developed as part of the png graphics standard and is not protected by patents  it is fully described in the specifications at the java util zip package description,source,Inflater,no category
HttpURLConnection_getInstanceFollowRedirects,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category
WebSettings_getCursiveFontFamily,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,no category
IsoDep_setTimeout,provides access to iso dep  properties and i/ o operations on a tag,sink,IsoDep,nfc communication
Animation_getInterpolator,"abstraction for an animation that can be applied to views, surfaces, or other objects  see the animation package description file",source,Animation,no category
DateFormat_clone,"[icu enhancement] icu's replacement for date format  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DateFormat,no category
DecimalFormat_setGroupingSize,"[icu enhancement] icu's replacement for decimal format  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,DecimalFormat,no category
IsoDep_getTag,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information
AudioManager_isMicrophoneMute,audio manager provides access to volume and ringer mode control,source,AudioManager,no category
DatePickerDialog_updateDate,a simple dialog containing an date picker,sink,DatePickerDialog,no category
Throwable_setStackTrace,this exception is thrown by the access controller to indicate that a requested access  is denied,sink,Throwable,no category
DateFormatSymbols_getWeekdays,"[icu enhancement] icu's replacement for date format symbols  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,DateFormatSymbols,no category
SimpleAdapter_setViewImage,"an easy adapter to map static data to views defined in an xml file  you can specify the data backing the list as an array list of maps  each entry in the array list corresponds to one row in the list  the maps contain the data for each row  you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views  binding data to views occurs in two phases  first, if a simple adapter view binder is available, view binder set view value is invoked  if the returned value is true, binding has occurred  if the returned value is false, the following views are then tried in order",sink,SimpleAdapter,no category
Properties_storeToXML,the properties class represents a persistent set of properties  the properties can be saved to a stream or loaded from a stream  each key and its corresponding value in the property list is a string,sink,Properties,no category
AppWidgetManager_getAppWidgetOptions,updates app widget state; gets information about installed app widget providers and other app widget related state,source,AppWidgetManager,no category
SQLiteProgram_bindNull,a base class for compiled sql lite programs,sink,SQLiteProgram,no category
AudioManager_getMode,audio manager provides access to volume and ringer mode control,source,AudioManager,no category
BassBoost_setProperties,bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,sink,BassBoost,audio
