key,docs,category_map,real_cat
AudioManager_getStreamMaxVolume, returns the maximum volume index for a particular stream .  audio manager provides access to volume and ringer mode control,no category,audio
AudioManager_isMusicActive, checks whether any music is active .  audio manager provides access to volume and ringer mode control,no category,audio
AudioManager_getRingerMode, returns the current ringtone mode .  audio manager provides access to volume and ringer mode control,no category,audio
AudioManager_getParameters, gets a variable number of parameter values from audio hardware .  audio manager provides access to volume and ringer mode control,no category,audio
AudioManager_getStreamVolume, returns the current volume index for a particular stream .  audio manager provides access to volume and ringer mode control,no category,audio
AudioManager_isMicrophoneMute, checks whether the microphone mute is on or off .  audio manager provides access to volume and ringer mode control,no category,audio
AudioManager_getMode, returns the current audio mode .  audio manager provides access to volume and ringer mode control,no category,audio
AudioManager_getProperty, returns the value of the property with the specified key .  audio manager provides access to volume and ringer mode control,no category,audio
AudioTrack_getMaxVolume," returns the maximum gain value, which is greater than or equal to 1 0 .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getNativeOutputSampleRate," returns the output sample rate in hz for the specified stream type .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getChannelConfiguration," returns the configured channel position mask .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getSampleRate," returns the configured audio source sample rate in hz .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getStreamType," returns the volume stream type of this audio track .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getChannelCount," returns the configured number of channels .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getMinVolume," returns the minimum gain value, which is the constant 0 0 .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getNotificationMarkerPosition," returns marker position expressed in frames .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getPlayState," returns the playback state of the audio track instance .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getPositionNotificationPeriod," returns the notification update period expressed in frames .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getAudioFormat," returns the configured audio data encoding .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getAudioSessionId," returns the audio session id .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getPlaybackHeadPosition," returns the playback head position expressed in frames .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getState," returns the state of the audio track instance .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
AudioTrack_getPlaybackRate," returns the current playback sample rate rate in hz .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",no category,audio
Calendar_setTime," sets this calendar's current time with the given date .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",no category,calendar
Calendar_set," sets the values for the fields year, month, date, hour, minute, and second .  [icu enhancement] i c u's replacement for calendar   methods, fields, and other functionality specific to icu are labeled '[icu]'",no category,calendar
CalendarView_setDate," sets the selected date in milliseconds since january 1, 1970 00:00:00 in  time zone#get default time zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",no category,calendar information
CalendarView_setMaxDate," sets the maximal date supported by this calendar view in milliseconds  since january 1, 1970 00:00:00 in time zone#get default time  zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",no category,calendar information
CalendarView_setMinDate," sets the minimal date supported by this calendar view in milliseconds  since january 1, 1970 00:00:00 in time zone#get default time  zone .  this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable",no category,calendar information
DatagramSocket_getChannel," returns the unique datagram channel object  associated with this datagram socket, if any .  this class represents a socket for sending and receiving datagram packets",no category,network connection
DatagramSocket_setSoTimeout," enable/disable s o_ t i m e o u t with the specified timeout, in  milliseconds .  this class represents a socket for sending and receiving datagram packets",no category,network connection
DatagramSocket_getLocalPort, returns the port number on the local host to which this socket  is bound .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_setSendBufferSize, sets the s o_ s n d b u f option to the specified value for this  datagram socket .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_setReuseAddress, enable/disable the s o_ r e u s e a d d r socket option .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getReceiveBufferSize," get value of the s o_ r c v b u f option for this datagram socket, that is the  buffer size used by the platform for input on this datagram socket .  this class represents a socket for sending and receiving datagram packets",no category,network connection
DatagramSocket_getReuseAddress, tests if s o_ r e u s e a d d r is enabled .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getInetAddress, returns the address to which this socket is connected .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getLocalSocketAddress, returns the address of the endpoint this socket is bound to .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getSoTimeout, retrieve setting for s o_ t i m e o u t .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_send, sends a datagram packet from this socket .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_setTrafficClass, sets traffic class or type-of-service octet in the ip  datagram header for datagrams sent from this datagram socket .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getSendBufferSize," get value of the s o_ s n d b u f option for this datagram socket, that is the  buffer size used by the platform for output on this datagram socket .  this class represents a socket for sending and receiving datagram packets",no category,network connection
DatagramSocket_getRemoteSocketAddress," returns the address of the endpoint this socket is connected to, or  null if it is unconnected .  this class represents a socket for sending and receiving datagram packets",no category,network connection
DatagramSocket_setBroadcast, enable/disable s o_ b r o a d c a s t .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_setReceiveBufferSize, sets the s o_ r c v b u f option to the specified value for this  datagram socket .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getTrafficClass, gets traffic class or type-of-service in the ip datagram  header for packets sent from this datagram socket .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getLocalAddress, gets the local address to which the socket is bound .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getBroadcast, tests if s o_ b r o a d c a s t is enabled .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_bind, binds this datagram socket to a specific address and port .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DatagramSocket_getPort, returns the port number to which this socket is connected .  this class represents a socket for sending and receiving datagram packets,no category,network connection
DownloadManager_getRecommendedMaxBytesOverMobile," returns recommended maximum size, in bytes, of downloads that may go over a mobile  connection; or null if there's no recommended limit .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",no category,network connection
DownloadManager_query," query the download manager about downloads that have been requested .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",no category,files
DownloadManager_getMimeTypeForDownloadedFile," returns the media type of the given downloaded file id, if the file was  downloaded successfully .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",no category,files
DownloadManager_getMaxBytesOverMobile," returns maximum size, in bytes, of downloads that may go over a mobile connection; or null if  there's no limi .  the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",no category,network connection
HttpURLConnection_getPermission, returns a socket permission object representing the  permission necessary to connect to the destination host and port .  a u r l connection with support for http specific features  see  the spec  for details,no category,network connection
HttpURLConnection_getInstanceFollowRedirects, returns the value of this http u r l connection's  instance follow redirects field .  a u r l connection with support for http specific features  see  the spec  for details,no category,network connection
