ind,key,docs,class,classification,category_map,real_cat,label,scores,real_final,pred_final
1,URLConnection_getRequestProperties," returns an unmodifiable map of general request  properties for this connection .  the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",URLConnection,source,no category,network connection,network connection,0.20389851927757263,network,network
4,URLConnection_setDefaultUseCaches," sets the default value of the use caches field to the  specified value .  the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",URLConnection,sink,no category,network connection,network connection,0.22447672486305237,network,network
5,SQLiteDatabase_rawQuery, runs the provided sql and returns a cursor over the result set .  exposes methods to manage a s q lite database,SQLiteDatabase,source,database,database,database information,0.4624142050743103,database,database
9,AudioManager_getRingerMode, returns the current ringtone mode .  audio manager provides access to volume and ringer mode control,AudioManager,source,no category,audio,audio information,0.5519838929176331,audio,audio
12,ServerSocket_getLocalSocketAddress," returns the address of the endpoint this socket is bound to .  this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",ServerSocket,source,no category,network connection,network connection,0.34347400069236755,network,network
13,DatagramSocket_getBroadcast, tests if so_broadcast is enabled .  this class represents a socket for sending and receiving datagram packets,DatagramSocket,source,no category,network connection,network connection,0.35039082169532776,network,network
14,HttpURLConnection_getFollowRedirects, returns a boolean indicating  whether or not http redirects  should  be automatically followed .  a url connection with support for http specific features  see  the spec  for details,HttpURLConnection,source,no category,network connection,network information,0.15019267797470093,network,network
15,MediaPlayer_setSurface, sets the surface to be used as the sink for the video portion of  the media .  media player class can be used to control playback of audio/video files and streams,MediaPlayer,sink,log,media,media,0.3953458368778229,media,media
17,HttpURLConnection_getInstanceFollowRedirects, returns the value of this http url connection's  instance follow redirects field .  a url connection with support for http specific features  see  the spec  for details,HttpURLConnection,source,no category,network connection,network information,0.17493821680545807,network,network
19,IsoDep_setTimeout, set the timeout of transceive in milliseconds .  provides access to iso dep  properties and i/ o operations on a tag,IsoDep,sink,nfc communication,nfc communication,media,0.12965182960033417,nfc,media
23,IsoDep_getTag, get the tag object backing this tag technology object .  provides access to iso dep  properties and i/ o operations on a tag,IsoDep,source,nfc information,nfc communication,nfc information,0.12099019438028336,nfc,nfc
24,AudioManager_isMicrophoneMute, checks whether the microphone mute is on or off .  audio manager provides access to volume and ringer mode control,AudioManager,source,no category,audio,audio information,0.5391372442245483,audio,audio
31,SQLiteProgram_bindNull, bind a null value to this statement .  a base class for compiled s q lite programs,SQLiteProgram,sink,no category,database,nfc information,0.16330701112747192,database,nfc
32,AudioManager_getMode, returns the current audio mode .  audio manager provides access to volume and ringer mode control,AudioManager,source,no category,audio,audio information,0.513676643371582,audio,audio
33,BassBoost_setProperties, sets the bass boost properties .  bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,BassBoost,sink,audio,audio,audio information,0.6085001230239868,audio,audio
34,AudioManager_setBluetoothScoOn, request use of bluetooth sco headset for communications .  audio manager provides access to volume and ringer mode control,AudioManager,sink,audio,audio,bluetooth,0.37695616483688354,audio,bluetooth
37,AccountManager_addAccountExplicitly," adds an account directly to the account manager .  this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",AccountManager,sink,user account,user account,user information,0.4133449196815491,user account,user account
38,NfcF_get, get an instance of nfc f for the given tag .  provides access to nfc f  properties and i/ o operations on a tag,NfcF,source,nfc information,nfc information,nfc information,0.5538795590400696,nfc,nfc
39,AudioTrack_getState," returns the state of the audio track instance .  the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",AudioTrack,source,no category,audio,audio information,0.48182412981987,audio,audio
48,MediaPlayer_addTimedTextSource, adds an external timed text source file  .  media player class can be used to control playback of audio/video files and streams,MediaPlayer,sink,files,media,media,0.4085003137588501,media,media
58,Log_w, send a warn log message and log the exception .  api for sending log output,Log,sink,log,log,logging,0.5709918141365051,log,log
