ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
1,URLConnection_getRequestProperties,"get request properties .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.15563750267028809,network,media
4,URLConnection_setDefaultUseCaches,"set default use caches .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",sink,URLConnection,no category,network connection,network information,0.15829434990882874,network,network
5,SQLiteDatabase_rawQuery,raw query .exposes methods to manage a s q lite database,source,SQLiteDatabase,database,database,database information,0.3923856019973755,database,database
9,AudioManager_getRingerMode,get ringer mode .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5892461538314819,audio,audio
12,ServerSocket_getLocalSocketAddress,"get local socket address .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.30655649304389954,network,network
13,DatagramSocket_getBroadcast,get broadcast .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.2909781336784363,network,network
14,HttpURLConnection_getFollowRedirects,get follow redirects .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.38844946026802063,network,network
15,MediaPlayer_setSurface,set surface .media player class can be used to control playback of audio or video files and streams,sink,MediaPlayer,log,media,media,0.34328800439834595,media,media
17,HttpURLConnection_getInstanceFollowRedirects,get instance follow redirects .a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.38018137216567993,network,network
19,IsoDep_setTimeout,set timeout .provides access to iso dep  properties and input or output operations on a tag,sink,IsoDep,nfc communication,nfc communication,system settings,0.1011577770113945,nfc,system settings
23,IsoDep_getTag,get tag .provides access to iso dep  properties and input or output operations on a tag,source,IsoDep,nfc information,nfc communication,nfc communication,0.12164566665887833,nfc,nfc
24,AudioManager_isMicrophoneMute,is microphone mute .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.48254385590553284,audio,audio
31,SQLiteProgram_bindNull,bind null .a base class for compiled s q lite programs,sink,SQLiteProgram,no category,database,nfc information,0.15252681076526642,database,nfc
32,AudioManager_getMode,get mode .audio manager provides access to volume and ringer mode control,source,AudioManager,no category,audio,audio information,0.5116926431655884,audio,audio
33,BassBoost_setProperties,set properties .bass boost is an audio effect to boost or amplify low frequencies of the sound  it is comparable to a simple equalizer but limited to one band amplification in the low frequency range,sink,BassBoost,audio,audio,audio information,0.6436822414398193,audio,audio
34,AudioManager_setBluetoothScoOn,set bluetooth sco on .audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.37251245975494385,audio,audio
37,AccountManager_addAccountExplicitly,"add account explicitly .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.38016170263290405,user account,user account
38,NfcF_get,get .provides access to nfc f  properties and input or output operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3552556335926056,nfc,nfc
39,AudioTrack_getState,"get state .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5025411248207092,audio,audio
48,MediaPlayer_addTimedTextSource,add timed text source .media player class can be used to control playback of audio or video files and streams,sink,MediaPlayer,files,media,media,0.41616952419281006,media,media
58,Log_w,w .api for sending log output,sink,Log,log,log,logging,0.38569486141204834,log,log
60,CalendarView_getMinDate,get min date .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9236745834350586,calendar,calendar
65,SSLParameters_getCipherSuites,"get cipher suites .encapsulates parameters for an ssl or  tls connection  the parameters are the list of ciphersuites to be accepted in an ssl or  tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl or  tls handshaking, the server name indication , the algorithm constraints and whether ssl or  tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,media,0.1561993658542633,network,media
69,ServerSocket_setPerformancePreferences,"set performance preferences .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.4192873537540436,network,network
72,WifiP2pManager_removeGroup,"remove group .this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.4642481505870819,network,network
74,AccessibilityService_performGlobalAction,"perform global action .accessibility services should only be used to assist users with disabilities in using android devices and apps  they run in the background and receive callbacks by the system when accessibility events are fired  such events denote some state transition in the user interface, for example, the focus has changed, a button has been clicked, etc  such a service can optionally request the capability for querying the content of the active window  development of an accessibility service requires extending this class and implementing its abstract methods",sink,AccessibilityService,log,system settings,media,0.17245303094387054,system settings,media
78,DatagramSocket_getRemoteSocketAddress,get remote socket address .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network information,0.32740652561187744,network,network
80,AccountManager_getPassword,"get password .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.3682639002799988,user account,user account
83,LocationManager_addNmeaListener,"add nmea listener .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.21908140182495117,geolocation,geolocation
90,SmsManager_divideMessage,"divide message .manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",source,SmsManager,network information,text message,media information,0.2881433367729187,text message,media
95,BluetoothHeadset_startVoiceRecognition,start voice recognition .public api for controlling the bluetooth headset service  this includes both bluetooth headset and handsfree  profiles,sink,BluetoothHeadset,bluetooth,bluetooth,bluetooth,0.4148050844669342,bluetooth,bluetooth
102,NfcA_setTimeout,set timeout .provides access to nfc a  properties and input or output operations on a tag,sink,NfcA,nfc communication,nfc communication,nfc information,0.3609789311885834,nfc,nfc
107,ServerSocket_getLocalPort,"get local port .this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",source,ServerSocket,no category,network connection,network connection,0.3631066381931305,network,network
115,MediaMetadataRetriever_getFrameAtTime,get frame at time .media metadata retriever class provides a unified interface for retrieving frame and meta data from an input media file,source,MediaMetadataRetriever,no category,media,media information,0.30876585841178894,media,media
117,AttributesImpl_getURI,get u r i .default implementation of the attributes interface,source,AttributesImpl,files,files,media,0.18769991397857666,files,media
120,DatagramSocket_bind,bind .this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network information,0.2958161234855652,network,network
121,AccountManager_getAuthenticatorTypes,"get authenticator types .this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.3702481985092163,user account,user account
122,Calendar_clone,"clone . icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5477599501609802,calendar,calendar
125,SQLiteCursor_getColumnNames,get column names .a cursor implementation that exposes results from a query on a s q lite database  s q lite cursor is not internally synchronized so code using a s q lite cursor from multiple threads should perform its own synchronization when using the s q lite cursor,source,SQLiteCursor,database,database,database information,0.5005753636360168,database,database
126,LocationManager_getAllProviders,"get all providers .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.291795015335083,geolocation,geolocation
129,LocationManager_isProviderEnabled,"is provider enabled .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.24953870475292206,geolocation,geolocation
131,Virtualizer_setStrength,"set strength .an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",sink,Virtualizer,audio,audio,audio information,0.23972776532173157,audio,audio
136,URLConnection_getHeaderFields,"get header fields .the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,media,0.13494601845741272,network,media
142,ClassLoader_getSystemClassLoader,"get system class loader .a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.438545286655426,system settings,files
147,AudioTrack_getNotificationMarkerPosition,"get notification marker position .the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5330885648727417,audio,audio
149,Binder_dumpAsync,"dump async .base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",sink,Binder,files,files,media,0.17341703176498413,files,media
153,Log_d,d .api for sending log output,sink,Log,log,log,logging,0.41626039147377014,log,log
154,LocationManager_setTestProviderLocation,"set test provider location .this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.23506172001361847,geolocation,geolocation
157,DatagramSocket_getSendBufferSize,get send buffer size .this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.37193942070007324,network,network
158,TrafficStats_getMobileTxBytes,"get mobile tx bytes .class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.6259918808937073,network,network
160,CalendarView_setMaxDate,set max date .this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,sink,CalendarView,no category,calendar information,calendar information,0.9322711825370789,calendar,calendar
163,WallpaperManager_setStream,"set stream .provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",sink,WallpaperManager,log,media,media,0.2561619281768799,media,media
